Year,Actual,Predicted
2020,9.8,9.54
2016,9.81,9.6
2008,9.89,9.71
1992,10.02,9.94
1984,9.99,10.06
1980,10.25,10.11
1968,9.9,10.29
1960,10.2,10.4
1936,10.4,10.75
1928,10.8,10.86
1920,10.8,10.98
1912,10.8,11.09
